,01 IT-ET Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
1785,0.004047969705425203,0.002939935156609863,22.853501796722412,0.0037737449165433645,0.007441146485507488,0.0878404576331377,0.004201919911429286,0.01903545018285513,0.004875839245505631,0.0034308496746234597,0.005986816668882966,0.008253663685172797,0.0005604894831776619,0.01879252549260855,0.0006824749696534128,0.0011404286953620613,0.0009358922805404291
1786,0.000834126997506246,0.0005519549362361431,12.960362863540649,0.0017824824200943113,0.005117220780812204,0.010678624082356692,0.0026125393342226744,0.005871723662130535,0.0012381133914459498,0.0004562371046631597,0.0010399044083897024,0.004092754260636866,0.000240519783255877,0.0018827691324986517,0.00025334280653623866,0.0005169712152564898,0.7669997930526733
1787,0.0014288642560131848,0.0008060120686423034,12.324661445617675,0.0034200441325083373,0.006722772889770567,0.014300170540809632,0.0034562784945592288,0.00922896140255034,0.0017367391323205084,0.0008060626452788711,0.003241340722888708,0.010998317180201412,0.0008525375800672918,1.4116762101650238,0.0004069491318659858,0.0021312477183528244,0.0008625489048426972
1788,0.000638137391069904,0.0003612354717915878,9.186175298690795,0.0013507961528375744,0.013940414041280746,0.012672831723466515,0.0030202662106603383,0.008593494119122625,0.00121491082245484,0.0006603290705243126,0.0011823241133242846,0.003796191047877074,0.0004293378777219914,0.0009959106333553792,0.0002628059693961404,0.0008845468139043078,0.0007604836078826338
1789,0.002934135089162737,0.0012160818499978635,13.255117273330688,0.00280074201291427,0.039890659600496294,0.011991368466988207,0.007694408926181496,0.017824936751276256,0.005877483705990017,0.0015500764537137001,0.0025296536972746254,0.007085549249313772,0.005424096086062491,0.008544374629855156,0.0022915528272278605,1.3794768869876861,0.0013611512607894839
1790,0.006547234719619155,2.4875988245010374,7.7169935464859005,0.01190000595524907,0.007885516830720009,0.02022516904398799,0.050359021499753,0.014257593825459481,0.017604160215705635,0.002691701636649668,0.009149857284501196,0.007729974039830268,0.002209191943984479,0.003209565696306527,0.002871953370049596,3.663391351699829,0.0042618367122486235
1791,6.1041820572427245e-06,8.189845975721255e-05,2.1577357347268845e-05,1.2317957771301738e-05,9.782367214938859e-06,4.163787502875494e-06,0.00023309352618525737,6.734440057698521e-06,4.721280674857553e-06,1.4353317601489836e-05,9.009547966343236e-06,7.459375365215237e-06,7.93419334513601e-05,8.269663885585032e-05,7.603407284477726e-05,8.342768451257143e-05,1.5486068367958068
1794,6.876293955428992e-05,0.007965575344860554,0.0001959237168193795,7.908688494353555e-05,5.111616937938379e-05,2.8153901985206177e-05,0.0009331086970632897,4.779342834808632e-05,3.793713385675801e-05,5.19235272804508e-05,4.664596199290828e-05,6.273933522606968e-05,0.00048773094895295806,0.00014375666578416715,0.00025078286707866935,3.294204020500183,0.0004319128085626289
1799,0.00153326679719612,0.00017036295685102232,7.667371573916171e-05,0.0004712076028226875,0.003146835358347744,0.00015526830538874494,0.0009306616353569554,0.0008850817306665705,0.0004160152093390934,0.001813960663275793,0.0018482980551198125,0.015122822718694806,0.0008673978270962834,0.0003537161581334658,4.821964168548584,9.832183361053467,0.048094089888036255
1800,4.131315145059489e-05,0.0002042813393927645,4.702451515186113e-05,5.028350788052194e-05,5.620313586405246e-05,2.2231484672374793e-05,0.0005354139022529126,4.147659110458335e-05,3.251055786677171e-05,3.6070668102183845e-05,2.8625635604839775e-05,0.00010123184365511406,0.00012889338831882925,0.00012731556926155464,9.461126613616944,0.0001496877557656262,0.00010866824013646696
1801,0.00023701887403149158,0.0004285401562810876,6.319402273220475e-05,0.000279367073380854,0.0006754904927220196,7.236422497953754e-05,0.0022514679352752865,0.00032499442459084095,0.0002361576982366387,0.00012507229184848258,0.00026393886364530774,0.00031681406835559756,2.3374301552772523,0.0014310964266769587,3.5609469532966616,0.002273187937680632,0.10520636215806008
1802,5.0642741553019735e-05,0.0006394291645847261,0.30278173834085464,0.002361273532733321,0.00014094678699620998,0.00025819069269346074,1.7279704093933106,0.0001297967799473554,0.00023925276327645408,7.127511344151571e-05,8.744336300878786e-05,0.00011543888540472835,0.02621471304446459,0.0015253576566465201,7.713591003417969,0.0006128447625087574,0.00036811304453294725
1803,0.00017933298586285675,0.0011518174258526414,0.12989507541060447,0.0019396145537029952,0.00024511558440281077,0.0004966905864421279,2.187575089931488,0.00037399041757453234,0.0005144604394445196,0.00023414386378135533,0.00018202796418336222,0.0002426053564704489,2.3681737303733827,0.009886146476492287,1.6553181529045105,2.6520535230636595,0.009915575524792076
1804,4.342984575487208e-05,0.0021865859045647083,1.0506410539150237,0.006954558216966689,0.00011413668980821968,0.0026368511724285783,0.17802010774612426,0.00013994711262057538,0.0004053648459375836,8.522345633537043e-05,4.002571695309598e-05,0.0003338902999530546,0.06929557770490646,0.006520368112251163,0.0147341787815094,0.0005873590678675101,0.00021643576401402244
1805,0.0006265540141612291,0.001277419162215665,0.002806712070014328,0.07891689613461494,0.001382196746999398,0.0013593613111879677,1.1010395407676696,0.0022532011149451136,0.004030221467837692,0.0008192342123948038,0.0021892862976528706,0.005635143001563848,4.082597231864929,1.5622861683368683,0.006016111164353788,0.021796930115669966,0.0014504176913760602
1806,0.0005482772772666067,0.0013653746573254466,0.0025464893551543355,0.032771014422178266,0.0008672597148688511,0.002740303333848715,0.09113656580448151,0.0037198595819063485,0.0007123013201635331,0.0005780527746537701,0.0004449338928679936,0.001395978860091418,3.960578167438507,0.007178170676343143,0.0005707756092306227,0.0003582297111279331,0.5835367828607559
1807,0.0005387831130065024,3.1379607677459718,3.687308692932129,0.0025565853458829227,0.00036732429289259015,0.002719305327627808,2.1630037307739256,0.00047802657645661383,0.001189756824169308,0.0008767165883909911,0.0006439680262701585,0.0004267970711225644,0.7166779935359955,0.004287137347273528,0.002057054918259382,0.005917639471590519,0.005936372163705528
