"","32 OEC","05 OB-IMN GABA","33 Vascular","34 Immune","03 OB-CR Glut","30 Astro-Epen","31 OPC-Oligo","02 NP-CT-L6b Glut","14 HY Glut","15 HY Gnrh1 Glut","10 LSX GABA","09 CNU-LGE GABA","12 HY GABA","13 CNU-HYa Glut","06 CTX-CGE GABA","11 CNU-HYa GABA","24 MY Glut","19 MB Glut","20 MB GABA"
"1340",0.71039696533771,0.00448916418203418,0.0124874712133509,0.000624865643314778,0.000198137223719164,0.00231493277613503,0.00354631440220266,0.150202381909676,5.39544903532499e-08,2.92244162998848e-05,0.00575008473698036,0.0683233036498729,0.0162819795437746,0.00014222914700914,0.0184727386406056,0.00514769860353527,0.000249829738028746,1.27111405009054e-09,0.00134262361014683
"1341",0.132610590397582,0.151066334520868,0.324851025490675,0.013055097478631,0.000165880415233168,0.104288978992954,0.00145110413270704,0.0635589368303013,0.0206118695684151,0.00924006881533531,0.100443921989423,0.0557655217540455,0.000301164313308192,0.000392743390317424,0.0163744774863395,0.00509437375386001,0.000688654040396679,7.42813644793352e-06,3.18284931594983e-05
"1342",0.00023949849053146,0.00809367817600235,0.00194157800962008,0.00215482210134955,0.0970893708436416,7.90906564907802e-07,6.80324068901737e-05,0.0332104721584997,0.243436579154564,0.00116834339114095,0.146639018953999,0.00527226218903316,0.0809010328763303,0.000439591243857713,0.00223807434222429,0.000291843479652148,0.0167350503873116,0.355518498794215,0.00456146209457229
"1343",0.00102451011183082,0.257004536203763,0.0375986673404722,0.00294033424902198,6.07908654297933e-05,0.0353152472367542,0.00596415451290142,0.000127644729604937,0.0168490625786153,0.00359178904673842,0.499864491619788,0.128933116701386,0.00234678040317641,2.94915437220897e-05,0.00300979763317764,0.000688017556004117,4.209553783785e-06,0.00464415177534563,3.20633848333602e-06
"1344",0.00142034430845952,0.224327763755562,0.0108042045079932,0.248383749722233,0.00151339015836155,0.0521687408288199,0.0450597479462777,0.000469926874321621,0.0309677025422931,0.00195584055731727,0.339037237398086,0.0273423749450362,0.00389251707473113,1.52396621450465e-05,0.00782552239037666,3.22392953390338e-05,0.00407889948802489,1.04762404255848e-06,0.000703510920578894
"1345",7.44555308509747e-08,0.000250661395677658,0.430980646863478,0.00417178805602132,0.355949363578554,1.67806311092678e-05,4.17773488136436e-05,3.87787127899448e-06,0.00672212552521421,3.66448757072951e-07,0.000102266926804809,0.000465101226045017,0.00168215566925226,7.56425580698119e-05,0.00545373992048662,2.61184083361955e-05,0.0878774820518299,3.5620432015818e-08,0.106179995444308
"1346",0.00849810663335172,3.52564794111624e-06,0.303653748217406,0.00554420874137087,0.000997018713394264,0.676697902986593,4.06878962919919e-05,0.000316735222284805,1.09547037722844e-07,0.00276743048424843,9.19364467347591e-05,2.14309971844123e-07,2.41664129952987e-05,1.49642508248914e-05,0.000318128967749251,1.41414633093373e-07,0.000353161443755714,3.8448904156871e-05,0.000639363759258713
"1347",2.53858802598248e-08,0.00195195853067275,5.10136918726084e-05,0.729229368640446,8.9250868815797e-06,3.63826801230181e-10,0.24370457302907,0.00118928996937065,8.05805495461059e-08,6.41606045284409e-06,2.02324313269979e-06,0.000780751817054592,0.000110829296593385,0.0138453575904484,0.000154018476350892,0.00885330400102288,0.00011195898265747,1.1729024643216e-12,1.05252543811454e-07
"1348",1.51423380793946e-09,0.900159048539554,0.00719741726906235,0.00129611521063586,6.49827624951772e-05,4.4359862168369e-06,0.00499751167862661,0.000393322645235159,6.56392145292719e-06,2.24580678746168e-06,0.000201141588252585,0.00500548237462486,0.014440761841314,0.0454032970518719,0.00370373440515339,0.0107559022319081,2.17101451205564e-05,3.7801312766548e-11,0.00634632498965289
"1349",6.64025333494957e-10,0.97419637874413,2.03771394419191e-06,0.000541258027688903,1.8182603098183e-07,1.77760965130317e-08,0.00151526179032345,0.00010086452881072,1.18351241341752e-05,3.4500290070052e-07,6.72182742165327e-06,0.000579507937094406,0.00729625802349709,0.00965059901188074,0.0026086061576489,0.00348573020051804,3.12026467868018e-10,7.69646453130006e-15,4.39533181983404e-06
