"cell_ID","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"84",0,0.151499813132466,0,0,0,0,0,0.263858909870145,0.108967369018766,0.0812687829114672,0.0869290770598929,0.0171263547616894,0.290349693245574,0,0
"85",0,0,0.428566643245612,0,0.279914029928877,0,0,0,0,0.0619483471043583,0.0948919030115445,0.134679076709608,0,0,0
"86",0,0.13770526518188,0,0,0,0,0,0.234407057378715,0.190428362169879,2.15411889234178e-18,0.0339064069942871,0.174099871314647,0.229453036960592,0,0
"88",0,0,0,0,0.998227046844644,0,0,0.00177295315535643,0,0,0,-1.18593790824326e-18,0,-1.41238977137734e-19,0
"89",0.115863176455857,0,0,0,0,0,0.125940797552518,0.115610532403752,0.238127433838829,0,0,0.0393398148426402,0.270115202316872,0,0.0950030425895318
"90",0,0.895624364529006,0,0,0,0,0,0.104375635470994,0,0,0,0,-7.98597041295676e-19,0,0
"91",0,0,0.298000196960902,0,0,0,0,0.119805685086801,0.0199080929581117,0,0.102201544319203,0.259075850531847,0.201008630143135,0,0
"92",0,0.739171882265899,0,0,0.260828117734101,0,0,0,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0.379395545791446,0.109090726893896,0.124356172334805,3.6581888201978e-18,0,-5.66163145359824e-18,0.348396569263386,0,0.0387609857164675
"94",0,0,0,0.0794334070309825,0.51483548911427,0,0,0,0,0.0801609713403971,0,0,0.203047679040712,0.0731161200143687,0.0494063334592701
"96",0,0.722567664503445,0,0,0,0,0.277432335496555,0,0,0,0,0,0,0,0
"98",0.28108669082097,0,0,0,0,0,0,0,0.105482211369947,0.253721138363384,0,-3.53004588810623e-18,0.359709959445699,0,0
"99",0.192610352943395,0.000315151798976134,0,0.212791179218435,0.0352997075630694,0,0,0,0.332083697263104,0.000247879751928062,0,0,0.226652031461093,0,0
"100",0.102915791501726,0,0,0,0.196138886005888,0,0,0,0.00189695024816982,0.229973862911808,0,0,0.469074509332407,0,0
"101",0.303871528343788,0,0,0,0,0,0,0,1.27606260254262e-06,0.203240221002783,0,0,0,0.492886974590826,0
"102",0,0.0903016981162033,0.264210469625764,0,0,0,0,0,0,0,0,0.461235455961328,0.184252376296704,0,0
"103",0,0,0,0,0.856274693469374,0,0,0,0.0740919331866592,0,0,0.0477021378976781,0,0.0219312354462886,0
"104",0,-2.81646222273985e-18,0,0.289940789190791,0.358615184369925,0.161169818046152,0.143412999848461,0,0,0,0,2.65934930866336e-05,0,0.0468346150515844,0
"105",0,0,0,0,0.514067300846007,0.485932699153993,0,0,0,0,0,0,2.64512420662642e-18,0,0
"117",0,0.575744675077643,0,0.268364170965282,0,0,0,0,0,0,0,0,0.155891153957075,0,0
"118",0,0,0.0709336139695945,0.0274044912342774,0,0,0,0.465782578795754,0.0398237034762301,0.0590293217814389,0,0.143080602784434,0.193945687958271,0,0
"119",0,0.211111585141889,0.572414545846527,0,0,0,0,0,6.15650534300752e-19,0,0.0899076847540259,0.126566184257559,0,0,0
