"","05 OB-IMN GABA","13 CNU-HYa Glut","34 Immune","32 OEC","03 OB-CR Glut","33 Vascular","31 OPC-Oligo","30 Astro-Epen","09 CNU-LGE GABA","06 CTX-CGE GABA","10 LSX GABA","12 HY GABA","02 NP-CT-L6b Glut","29 CB Glut"
"1444",0.98186159933245,1.13525228395524e-07,0.0010209431508064,6.3932738378387e-13,1.18763385889094e-06,1.56952159668427e-05,0.000114280942585326,1.12079888879739e-07,0.0106086689684769,2.13297630482303e-06,0.000107185782147569,8.06935443856211e-05,0.00616088428131849,2.65025659426856e-05
"1445",0.987669144851496,4.03012963543996e-06,5.28550045841662e-06,1.03069009360364e-07,6.77346967960118e-05,3.10969115827569e-07,0.00105177707161815,2.02132422450521e-07,0.00515581212032003,0.000114083253515723,5.33382404501317e-06,0.000322765335829354,0.00560052042778132,2.89661795729116e-06
"1446",0.986633323809034,3.25977531570265e-06,7.33820636969531e-05,1.41539621744342e-09,3.51760258692669e-05,2.07148463751009e-06,0.00027666719774159,6.18926161544802e-08,0.00496167375438243,6.67189762881304e-05,2.04686944557987e-05,3.67834950452156e-05,0.00788930490721903,1.10650830191944e-06
"1447",0.903620792712518,0.00154654251443121,0.00092953246930081,4.32575432703735e-06,2.42795779618992e-05,0.0758263389236545,0.000238653745945371,7.75854398423505e-05,0.00349679666356351,3.64318049757018e-06,0.000120899350608463,2.68238827101253e-05,0.0132318248553281,0.000851960929311091
"1448",0.393999990147135,0.0021362820091548,0.000385131525906076,1.70198492660107e-07,8.73710956503587e-05,0.386338196236352,0.0843003552796103,1.16823428136718e-08,0.00680185188042754,4.05486183593124e-05,0.000245276262795918,0.000205384726068157,0.0930396577220145,0.0324197726156911
"1449",0.952441940865258,7.10997080182544e-05,2.74864090364003e-05,1.56200287148075e-07,2.81734297216572e-06,0.000518820039020649,0.000154849004409577,6.64376136320684e-08,0.0162706626388428,9.98069579185165e-06,2.44472102953354e-05,2.78607806537076e-05,0.0304388662822874,1.09463855132547e-05
"1450",0.991383066931141,3.08630271969624e-07,2.50831459148591e-05,6.36378734952231e-09,6.88486415686091e-06,5.22713203254716e-07,9.07976611027646e-05,2.3334732275086e-08,0.00347850551806677,5.90385825697506e-05,1.80377401779328e-05,1.05387244271357e-05,0.00492709079628706,9.49941611261908e-08
"1451",0.843234799777053,0.000176576987391146,3.37450943853285e-05,1.2162724235791e-07,8.30427548213567e-08,1.00529898033145e-07,2.82075627348182e-06,5.62104724720351e-10,0.140261397536594,2.88884752948863e-06,4.550951943672e-05,2.29251572756948e-05,0.0162190267600571,3.80200379311744e-09
"1452",0.970657783757558,2.70300899749162e-06,0.000915523190441239,4.77157685280270e-09,3.98735960851704e-05,6.2353685665353e-06,0.0034963120160368,7.40755542849996e-08,0.00317265490999527,0.000100489881069899,1.67631229034912e-05,0.000173675268956872,0.0213788349190234,3.90721132349427e-05
"1453",0.573484170392891,0.00054468954553637,0.000760539878531691,1.16204510750718e-06,0.222374146767465,0.162639918822893,0.000875901448178886,1.18251116777249e-05,0.00371610620639633,0.000525824281703933,0.000583820958150307,0.00231938514702784,0.00657751999739639,0.0255849893970433
"1454",0.00088060300496459,0.00903595823242037,0.00145203622036959,0.000249311664844297,0.420548609685939,0.469193942495168,8.4199858348333e-05,0.000590942489125817,0.0055882801747688,3.77728173576044e-06,0.0154658725049131,6.52730429448967e-06,1.40224843321928e-05,0.0768859165987756
"1455",0.120852135053333,0.000440940209009975,0.000181288526453901,0.00683470477674172,7.36247267544356e-06,0.38929882388977,0.00388495714071026,0.361675308917187,0.000663698795311338,0.000270514741829101,0.0474098385612461,2.04829332862006e-05,0.00670759292520554,0.0617523510572399
"1456",4.69499430102567e-08,3.14229640167971e-06,0.00230798534586696,0.0104483903300267,1.67110715894031e-05,0.000534571301423634,0.00162162340093488,0.968411933505321,8.50297256816158e-09,1.40291375997726e-07,6.00842582696887e-07,8.19431655329552e-08,0.0166491491818599,5.61503653633238e-06
"1457",0.342996232067743,0.0051218021820937,0.00197984299665323,0.000612376156586539,0.0496367809898841,0.000173149172231487,0.00346244273788022,0.106209821191012,0.0696705440894186,0.0975873078809905,0.208724751423294,0.0938350086219518,0.00038295958183579,0.0196069809084255
"1458",0.128570203428831,0.145258479103702,0.000827184409459441,0.292068345731268,0.000109927261135995,5.38093493077249e-05,0.132026238265656,0.000362559665648036,0.0238451132481781,0.0688130272657917,0.118109778862188,0.0840311936182567,0.00582243080435251,0.000101708986224814
"1459",6.76207723223391e-06,0.246647910294694,0.0013147101126365,0.67868358949415,0.000608548713188239,0.00598434919565455,0.03389816395332,0.0175579643580287,4.20871808987004e-06,0.00519540075342721,7.78722836557583e-06,0.00275137506901692,0.00266138634999985,0.00467784368219666
"1460",1.85438426975889e-08,0.157526696423184,0.00437489834174953,0.818637281580576,2.74822440450833e-07,0.000177501437572762,0.014551755428094,0.0005984467954885,4.55084788659169e-09,8.99729449407735e-05,9.67244492306008e-05,0.00324594194100964,0.000700206354433393,2.76386589121851e-07
"1461",8.80700568766442e-06,0.00182254732009422,0.0534247841616367,0.765708325361298,4.01342816365413e-06,0.166633986585279,0.00262200437551402,0.0086571062775219,6.47178391221145e-06,2.15554914771925e-07,1.18082908209853e-05,2.92279107787307e-05,0.00100283268973512,6.78692546432715e-05
"1463",2.19894275459035e-05,9.83668305666103e-05,0.0363769810707952,0.881849838410814,1.43893277460196e-07,0.00940483551362186,0.000302878186679931,0.0672519406732421,0.00394532269237771,7.88622680344895e-07,2.93827754466738e-07,8.544203999738e-06,0.000736674958554864,1.40168809026669e-06
