,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,12 HY GABA,13 CNU-HYa Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
70,0.0005222709005465731,9.007772207260132,3.3648595213890076,0.008185074990615248,0.002813529584091157,0.015772343333810567,0.025871383678168058,0.0012558361224364492,0.0010330958000849932,0.22046542763710023,0.004069813177920879,0.009184891311451792,0.0008650493953609839,0.015712839690968396
71,0.0009489488729741424,0.012845100834965706,5.514420461654663,0.0036723886500112713,0.0005859984899871052,0.00834545805118978,0.0026025516563095152,0.0011963724449742586,0.0024291528272442522,2.5612287163734435,0.05367940850555897,1.049234390258789,0.01068346337415278,0.00125239891349338
72,0.0018071868980769068,0.0001504471052612644,0.00029604522715089845,0.0020605247118510306,0.0014947321615181863,0.0007830203539924696,0.0008270194346550853,0.0007261165214003995,0.09237260855734349,0.005416735517792404,0.001350999082205817,0.019834761880338194,4.002613496780396,0.0032307482324540615
73,0.0001728903007460758,0.0017462286923546344,0.9200779289007187,0.0004748248917167075,0.00016976127153611742,0.0006167746352730319,0.008813018165528774,0.00016235742295975797,0.0001725697373331059,0.03798142932355404,0.002381745702587068,0.07210141494870186,0.47921904623508454,0.006234041997231543
74,8.185149563360028e-05,0.0010259876551572233,0.9290834128856659,0.0018960617133416237,0.00025861721514957025,0.0004339462335337885,0.00032592140923952683,0.00016976911865640434,0.0003502767067402601,0.003291153721511364,0.0020923214382492007,0.0008032411453314126,0.03579574357718229,0.4123171344399452
75,0.0013009645917918533,0.00045929811021778734,0.00012462870217859744,0.0013137240195646885,0.00047526347771054134,0.0005689416808309034,0.0006147619191324338,0.011762803606688977,0.0019193089392501863,0.8739810317754746,0.0013765689160209148,0.05339008793234825,5.540117621421814,0.0071157870115712285
76,3.459939689491876e-05,0.002166525018401444,0.06762781888246536,0.0004345633220509626,7.181474647950381e-05,0.00016613590414635838,0.00017540794651722537,0.00010518698836676776,6.324276364466641e-05,0.053222847357392314,0.0015372942783869804,1.1074356496334077,0.08323495388031006,0.0003739352556294762
79,0.0009003721526823938,0.22598996460437776,5.507465505599976,0.0015681887976825239,0.0010259894013870507,0.0017076746735256165,0.0015333827468566597,0.0006111934140790254,0.0005340721574611962,0.006086654402315617,0.16210065633058549,0.0008257187291746959,0.003712894208729267,0.08806312456727028
80,0.0009032246249262244,0.0032648472930304705,6.025845170021057,0.010566406976431608,0.0016014307911973447,0.003426357312127948,0.0788959138095379,0.005085536907427013,0.0017844821035396309,0.3658698856830597,0.00797211655881256,12.45151333808899,0.006996881286613643,0.002802805369719863
81,4.4036102735844906e-05,0.00013928877087892035,0.00010291558610333596,2.0782201681868172e-05,1.9881345633621094e-05,2.1202044626988938e-05,2.404180513622123e-05,8.434150877292269e-05,3.88473157727276e-05,0.0023011852987110614,1.3782291889190674,0.0014141021063551308,0.0007139764493331313,0.0005082828109152616
