gene_identifier,n_counts,n_cells
Lypd6,232.0,125
Rab3b,795.0,181
Tsix,2090.0,665
Dnajc28,236.0,139
Zwint,6471.0,861
Fuom,1204.0,517
Cryl1,413.0,228
Kcnmb2,82.0,56
Oprk1,145.0,55
Ankrd34b,199.0,119
Stmn3,19667.0,839
Nek7,397.0,189
Ndufa4,29144.0,1595
Stac2,234.0,126
Cacna2d2,127.0,86
Ifit2,160.0,119
Kcnc2,670.0,310
Klhdc9,79.0,59
Bfsp1,16.0,8
Tac1,112.0,25
Stk32a,28.0,19
Lrrc38,23.0,15
Gna14,5.0,4
Akr1c18,10.0,5
Relt,209.0,119
Gm4980,58.0,35
Mme,25.0,16
I830012O16Rik,67.0,49
Mkx,241.0,130
Zfp558,17.0,14
Nxph1,236.0,76
A030009H04Rik,2657.0,685
Nap1l2,2111.0,560
Cdh13,670.0,226
Nppc,305.0,153
AI413582,2062.0,755
Olfm3,592.0,207
Rxfp3,29.0,17
Trpc6,136.0,87
Elfn1,232.0,79
Pappa,26.0,24
LOC100861615,98.0,63
Lhx6,64.0,24
Kctd8,84.0,37
Mstn,9.0,5
Lypd6b,164.0,82
AW551984,22.0,17
Tmem132c,12.0,10
Sla,151.0,71
Sox6,227.0,97
Mrap2,67.0,43
Nxph2,5.0,4
Moxd1,26.0,17
Timm8a1,951.0,500
Pvalb,137.0,32
Snora30,166.0,125
Tuba8,125.0,82
Gadd45g,678.0,335
Inadl_loc1,43.0,39
Klhl14,4.0,2
Gys2,4.0,2
4930426D05Rik,6.0,5
Wnt7a,211.0,96
B230216G23Rik,53.0,38
Gm5868,6.0,5
Cpne5,1366.0,357
Rarres1,48.0,25
Slc10a4,9.0,8
Cntnap3,46.0,27
Tmem91,415.0,175
Crabp1,40.0,23
Neb,52.0,37
Zfp442,270.0,151
Htr2c,193.0,79
Ppil1,764.0,373
Tamm41,205.0,129
Slc7a3,370.0,133
Cenph,23.0,14
Ap1s2,644.0,371
Pnck,1321.0,410
Hmgn2,2420.0,902
Serpini1,4726.0,712
C1ql1,21.0,11
Dusp26,726.0,373
Gm14436,927.0,527
Rps4y2,363.0,204
Selm,2687.0,1053
Stk32b,18.0,9
Gtpbp8,331.0,194
1110038B12Rik,705.0,367
G0s2,209.0,130
Akr1e1,808.0,388
Sumo1,7948.0,1340
Rwdd3,330.0,186
Smim18,478.0,220
Rpl7,10448.0,1484
Bex4,1193.0,449
Bnip3,5187.0,1112
Gm14305,1594.0,801
Pcbd1,119.0,80
OTTMUSG00000016609_loc4,1800.0,852
Glrx,1303.0,589
Pafah1b3,329.0,181
Synpr,3275.0,369
