cell_ID,cell_type,n_counts,cellType,n_genes
246,eNeuron,6803.0,eNeuron,2725
247,eNeuron,13583.0,eNeuron,3888
248,eNeuron,14339.0,eNeuron,4717
249,eNeuron,13072.0,eNeuron,4177
250,eNeuron,13872.0,eNeuron,4492
251,eNeuron,12353.0,eNeuron,3893
252,eNeuron,10529.0,eNeuron,3288
253,eNeuron,19186.0,eNeuron,5114
254,eNeuron,21613.0,eNeuron,5522
255,eNeuron,9459.0,eNeuron,3688
256,eNeuron,14822.0,eNeuron,4071
257,eNeuron,30941.0,eNeuron,6833
258,eNeuron,15124.0,eNeuron,4999
259,eNeuron,21038.0,eNeuron,4768
260,eNeuron,24013.0,eNeuron,5614
261,eNeuron,9610.0,eNeuron,2881
262,eNeuron,7641.0,eNeuron,3157
263,eNeuron,11266.0,eNeuron,3525
264,eNeuron,17130.0,eNeuron,4005
265,eNeuron,15039.0,eNeuron,4483
266,eNeuron,8798.0,eNeuron,3326
267,eNeuron,23215.0,eNeuron,5827
268,eNeuron,11034.0,eNeuron,3810
269,eNeuron,14639.0,eNeuron,4640
270,eNeuron,10277.0,eNeuron,3208
271,eNeuron,15300.0,eNeuron,4605
272,eNeuron,8672.0,eNeuron,2389
273,eNeuron,7906.0,eNeuron,3216
274,eNeuron,10685.0,eNeuron,3902
275,eNeuron,9552.0,eNeuron,3705
276,eNeuron,14352.0,eNeuron,4711
277,eNeuron,13510.0,eNeuron,4594
278,eNeuron,7863.0,eNeuron,2861
279,eNeuron,14731.0,eNeuron,3533
280,eNeuron,15555.0,eNeuron,3651
281,eNeuron,9141.0,eNeuron,3207
282,eNeuron,9098.0,eNeuron,3266
283,eNeuron,9419.0,eNeuron,3590
284,eNeuron,7252.0,eNeuron,3043
285,eNeuron,5942.0,eNeuron,2764
286,eNeuron,7189.0,eNeuron,2727
287,eNeuron,12771.0,eNeuron,4196
288,eNeuron,6802.0,eNeuron,2056
289,eNeuron,14846.0,eNeuron,4495
290,eNeuron,22848.0,eNeuron,5827
291,eNeuron,7022.0,eNeuron,3112
292,eNeuron,9336.0,eNeuron,3693
293,eNeuron,17818.0,eNeuron,5034
294,eNeuron,15626.0,eNeuron,4843
295,eNeuron,14292.0,eNeuron,4617
296,eNeuron,10414.0,eNeuron,3922
297,eNeuron,10450.0,eNeuron,3722
298,eNeuron,17839.0,eNeuron,4604
299,eNeuron,10534.0,eNeuron,3446
