,Olig,astrocytes,cellType,eNeuron,endo_mural,iNeuron,microglia
84,1.9597299158573152,1.926891314983368,0.184205824136734,3.11502126455307,2.892409932613373,1.3124783873558044,2.0299947381019594
85,2.044561493396759,2.224508512020111,0.2393737517297268,3.6081949710845946,4.3458984851837155,1.6531912803649902,2.3005428194999693
86,1.9525489032268524,2.030615472793579,0.17780110836029053,4.1759356498718265,3.961243736743927,1.1000141143798827,2.14403440952301
87,1.9577128529548644,2.6275057911872866,0.33908661752939223,4.047579836845398,4.3736594915390015,1.3356060683727264,2.3372138857841493
88,1.1383322596549987,1.6638188183307647,0.19985248968005181,2.8807339668273926,3.144538402557373,1.1770824372768403,1.8349339723587037
89,2.922255802154541,1.6774275600910187,0.34791223853826525,3.492231214046478,3.5742908716201782,1.5093576073646546,2.345947575569153
90,0.7028752446174622,0.7470854341983795,0.23057518601417543,2.374079477787018,1.5692925810813905,0.38643539249897,1.074920392036438
91,2.1015309929847716,0.30760144591331484,0.04029532913118601,0.9202674925327301,0.839792686700821,0.36608824878931046,0.6147785574197769
92,1.538974118232727,1.102224016189575,0.33726579397916795,2.6997127771377563,2.6086169242858888,1.1278344511985778,1.7529354214668273
93,1.4232897102832793,2.5658801436424254,0.27605431377887724,4.002798414230346,3.547686207294464,0.9952846378087997,2.1568586587905885
94,1.8709436655044556,1.6469989657402038,0.3185781121253967,2.824210751056671,3.2814261078834535,1.3105663180351257,1.7495581805706024
95,2.303547751903534,1.8067129969596862,0.2259557969868183,3.361219274997711,3.680015301704407,1.2704103529453277,2.2279064655303955
96,1.24999058842659,1.4369784235954284,0.16765627413988113,2.8379647374153136,3.3113125801086425,0.9168784350156785,1.8258679270744325
97,0.8949213773012161,1.5835981369018555,0.22202816382050514,2.8409141898155212,2.3586161375045775,0.8319954246282577,1.1259098112583161
101,1.333475536108017,1.0151850879192352,0.1630588188767433,1.2666174829006196,2.9290240883827208,0.6728737413883209,1.0113297700881958
102,3.7106795072555543,1.840846973657608,0.29521597623825074,3.144456708431244,4.001046514511108,1.407035046815872,2.14720333814621
103,3.6444003582000732,1.7297887325286865,0.21394446045160292,2.2988781094551087,3.1700855135917663,1.3001369178295135,2.1799672484397887
104,0.3750854581594467,1.515092957019806,0.003821568703278899,0.08940706588327885,0.7867095202207566,0.03841796722263098,0.07394687682390214
109,1.157536906003952,0.4879068747162819,0.021134330052882434,0.044356359913945195,0.2536570727825165,0.06844553016126156,0.19736117422580718
110,1.0071259796619416,0.03724591378122568,0.007887803995981813,0.045272706635296346,0.1913619264960289,0.020222064200788738,0.11729952059686184
