cell_label,brain_section_label,feature_matrix_label,donor_label,donor_genotype,donor_sex,cluster_alias,z,subclass_confidence_score,cluster_confidence_score,high_quality_transfer,neurotransmitter,class,subclass,supertype,cluster,neurotransmitter_color,class_color,subclass_color,supertype_color,cluster_color,n_counts
106474308352033830899675763624829136314,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14951,0.3,0.936528151329972,0.6160179577603808,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5231 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#45997D,224.0
107530496404013775611326908036533200910,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1335,0.3,0.9999800686240664,0.7681624745990376,True,GABA,05 OB-IMN GABA,041 OB-in Frmd7 Gaba,0150 OB-in Frmd7 Gaba_1,0540 OB-in Frmd7 Gaba_1,#FF3358,#1b4332,#FF0073,#A6FF99,#CCA17A,259.0
108219398990515732408450031622529771793,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1383,0.3,0.9999810213518172,0.978281259969969,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0568 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#992E7C,259.0
124732306162757168658464147362899349856,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1299,0.3,0.9912144748301632,0.9799574330616798,True,GABA,05 OB-IMN GABA,040 OB Trdn Gaba,0148 OB Trdn Gaba_1,0529 OB Trdn Gaba_1,#FF3358,#1b4332,#684599,#992E33,#995C90,103.0
130680514909718806506754984776676228843,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1299,0.3,0.9999868006137794,0.9905110923243085,True,GABA,05 OB-IMN GABA,040 OB Trdn Gaba,0148 OB Trdn Gaba_1,0529 OB Trdn Gaba_1,#FF3358,#1b4332,#684599,#992E33,#995C90,122.0
136381453245424426456665617003008696290,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5255,0.3,0.9999229406230072,0.7701218581098312,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5311 Endo NN_1,#666666,#858881,#994567,#00992A,#CC3D76,292.0
141029235837069191637366060880506110959,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1333,0.3,0.9999838154680396,0.6385207781660394,True,GABA,05 OB-IMN GABA,041 OB-in Frmd7 Gaba,0151 OB-in Frmd7 Gaba_2,0548 OB-in Frmd7 Gaba_2,#FF3358,#1b4332,#FF0073,#00664C,#4DFF84,252.0
155428279702087775936077049010730151228,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.999951316238202,0.9025204881690728,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,47.0
160003237174433502970084288650484840892,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1282,0.3,0.8943962496387061,0.8943962496387061,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0144 OB Meis2 Thsd7b Gaba_2,0521 OB Meis2 Thsd7b Gaba_2,#FF3358,#1b4332,#FF99F7,#0005FF,#54663D,254.0
161489661790604242625866378189383920791,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1307,0.3,0.999968533592128,0.52084269925231,True,GABA,05 OB-IMN GABA,041 OB-in Frmd7 Gaba,0150 OB-in Frmd7 Gaba_1,0535 OB-in Frmd7 Gaba_1,#FF3358,#1b4332,#FF0073,#A6FF99,#904599,226.0
164882098620842565313494074820201312529,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1374,0.3,0.9999961388401474,0.9999961388401474,True,GABA,05 OB-IMN GABA,043 OB-mi Frmd7 Gaba,0161 OB-mi Frmd7 Gaba_1,0579 OB-mi Frmd7 Gaba_1,#FF3358,#1b4332,#FF99A7,#715CCC,#3DCCC8,301.0
187706310280228744533546378453234576842,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1300,0.3,0.9999848726638988,0.649996997679541,True,GABA,05 OB-IMN GABA,041 OB-in Frmd7 Gaba,0157 OB-in Frmd7 Gaba_8,0567 OB-in Frmd7 Gaba_8,#FF3358,#1b4332,#FF0073,#990001,#CC00B3,202.0
188938338280691157719829000073501069398,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1299,0.3,0.9999788933228126,0.6725897100591025,True,GABA,05 OB-IMN GABA,040 OB Trdn Gaba,0148 OB Trdn Gaba_1,0529 OB Trdn Gaba_1,#FF3358,#1b4332,#684599,#992E33,#995C90,322.0
195382924834553649794973431188523908156,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1310,0.3,0.9999823611250132,0.7002756686399003,True,GABA,05 OB-IMN GABA,041 OB-in Frmd7 Gaba,0150 OB-in Frmd7 Gaba_1,0539 OB-in Frmd7 Gaba_1,#FF3358,#1b4332,#FF0073,#A6FF99,#663B0F,390.0
198601649896907955121375091167652451865,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1300,0.3,0.9999923971771888,0.9363118952552464,True,GABA,05 OB-IMN GABA,041 OB-in Frmd7 Gaba,0157 OB-in Frmd7 Gaba_8,0567 OB-in Frmd7 Gaba_8,#FF3358,#1b4332,#FF0073,#990001,#CC00B3,511.0
