gene_identifier,n_counts,n_cells
Ctnna1,287.0,65
Ctnnd2,1418.0,70
Ctps,255.0,57
Ctsa,283.0,60
Ctsd,724.0,67
Ctsf,514.0,66
Cttnbp2nl,304.0,61
Cuedc2,561.0,67
Cul3,215.0,62
Cul4a,406.0,65
Cutal,126.0,46
Cux2,629.0,61
Cwc25,289.0,61
Cwf19l1,119.0,49
Cxcl9,67.0,34
Cxcr4,120.0,49
Cyb5r1,238.0,55
Cyb5r2,113.0,47
Cybb,136.0,49
Cyld,152.0,51
Cyp11a1,256.0,56
Cyp1a1,153.0,54
Cyp21a1,222.0,56
Cyp24a1,215.0,62
Cyp26b1,273.0,62
Cyp26c1,119.0,49
Cyp2d22,209.0,60
Cyp2f2,211.0,57
Cyp2s1,221.0,56
Cyp2u1,225.0,58
Cyp2w1,174.0,50
Cyp39a1,155.0,51
Cyp4b1,99.0,44
Cyp4v3,222.0,61
Cyp7a1,147.0,50
Cyr61,251.0,53
Cysltr1,181.0,55
Cyth2,236.0,60
Cyth3,329.0,62
Daam1,124.0,47
Dab2,185.0,56
Dab2ip,962.0,70
Dach1,226.0,60
Dact1,254.0,60
Dalrd3,483.0,64
Dapk1,483.0,65
Dapk2,181.0,57
Dapp1,168.0,52
Daxx,467.0,64
Dbpht2,288.0,62
Dbt,145.0,50
Dcaf12l2,134.0,47
Dcaf15,141.0,46
Dcaf5,577.0,65
Dcaf6,573.0,68
Dcaf8,469.0,66
Dcakd,585.0,67
Dcbld2,258.0,65
Dcc,280.0,62
Dchs1,254.0,59
Dclk3,457.0,59
Dctn4,214.0,58
Ddb2,184.0,54
Ddc,92.0,41
Ddhd1,287.0,60
Ddhd2,223.0,63
Ddost,403.0,63
Ddx21,173.0,56
Ddx28,256.0,63
Ddx31,162.0,51
Ddx42,351.0,65
Ddx47,227.0,56
Ddx50,251.0,59
Ddx52,148.0,50
Ddx54,224.0,60
Deaf1,394.0,66
Dedd2,279.0,57
Dennd5a,196.0,54
Dennd5b,308.0,64
Depdc5,265.0,60
Des,188.0,50
Dgat2,657.0,65
Dgcr8,344.0,63
Dhfr,88.0,37
Dhodh,245.0,55
Dhrs7b,268.0,61
Dhrs9,150.0,51
Dhx58,118.0,44
Dhx9,347.0,64
Diablo,227.0,56
Dicer1,183.0,58
Dido1,569.0,67
Diexf,206.0,57
Dio1,140.0,49
Dio3,103.0,43
Dip2a,369.0,67
Dip2b,495.0,65
Dip2c,340.0,63
Diras2,1217.0,65
Dirc2,275.0,62
Dis3,123.0,49
Dis3l,304.0,64
Disc1,171.0,54
Disp1,166.0,51
Dlgap3,2589.0,69
Dll1,202.0,55
Dll3,176.0,55
