"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"101",0.443945310309943,1.26568977750874e-07,2.85940667821821e-07,0.0873627329811984,1.26245004946842e-05,1.77575644222561e-05,3.7682350563262e-05,0.0589450489368011,6.00289657342928e-05,0.2452458260255,7.40105760358744e-08,0.000103251130732283,8.226234451515e-06,0.162017848239192,0.00224317624074562
"102",0.000249000922449939,0.0103584110686791,0.0151312071116355,0.00314090323352418,0.15469629541524,0.0168341201103362,0.0674353485026077,0.000430067221910556,0.0594267011808192,0.000743330169653733,0.0509576745269523,0.326697656305645,0.156511558103417,1.90659118032013e-05,0.137368660215326
"103",0.0370910884450853,0.000263290607708516,6.16923567636334e-07,0.00697511528755804,0.541670941347733,0.00912728181726615,0.0695451976674795,0.025256786026674,0.0732858815651136,0.0069589178654254,0.0201175248791114,0.157996029388713,0.00767151486331384,6.52267668473698e-05,0.043974586548403
"104",0.0393625708009079,0.0310405599906055,0.00104552510175881,0.25122238384171,0.333037675683767,0.000393612169110392,0.0756153869145855,0.00285596530195848,0.00736519404548072,0.00206699464863838,0.0292472573203805,0.0526173985960849,0.00716124167282508,0.0016548868307353,0.165313347081452
"105",0.000178459617636446,0.000136366949162954,4.80987607837211e-06,0.010120154648694,0.740558367850641,0.000639920517153826,0.107272581364727,0.000781164048496768,0.0416966318596195,0.0114554451943638,0.060112231850307,0.00419912127343011,0.0136950643328992,0.00260353483749267,0.00654614577929747
"117",6.41999732216923e-05,0.482665541723009,0.0567100114298808,0.328275851712715,0.0448242238367131,0.0314601195807338,0.00153733449436242,0.00412846908958596,2.19062064636739e-06,0.00100303423840538,0.000202691950402335,0.00805712381065458,0.0292601082424649,0.00116059237549099,0.0106485069217136
"118",0.0572067635866996,0.0403035951806073,0.0544940130862403,0.0242263230634495,0.00195344159760474,0.0224264555106829,0.00233267153800897,0.149470704349526,0.175309770420569,0.0769774027661993,0.0053430303415886,0.348638217136665,0.000111231307440152,0.031367698112939,0.00983868200177994
"119",0.0416650887005511,0.219431931075389,0.263772243870302,0.0327491047991096,0.0670185443446422,0.0182727734936147,0.00365448505007854,0.0635471944100044,0.0786628833506482,0.00680881796091439,0.0185802339700786,0.16873959855015,0.000105891147357701,0.00760187019796928,0.00938933907918937
"120",0.0846428878040906,0.0466253707327481,5.38454170394148e-07,0.0117570401369841,0.0618776259680836,0.24792838195717,0.00647141934176585,0.00180174874195003,0.130784545171406,0.177187626541777,0.100204890970384,0.117475982250271,0.00283520002583952,0.00095342437244351,0.0094533175309179
"121",0.0019066605077506,0.373265473273567,0.210391197227032,0.000901935127628791,0.00148008774581872,0.000794740219530477,0.00126577123372396,0.000431119963610072,0.123249904038105,0.000524512596557881,0.00956203160488209,0.266412856614985,0.00683979315468356,0.000230111040100909,0.00274380565202358
